Rk,Age▼,Date,Tm,at,Opp,outcome,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
144,28-147,2018-01-20,HOU,,GSW,1,1,35,8,16,0.5,3,7,0.429,5,9,0.556,1,2,0.5,0,2,2,8,2,2,6,1,22,16.8
145,28-145,2018-01-18,HOU,,MIN,1,1,26,3,15,0.2,2,10,0.2,1,5,0.2,3,3,1,1,1,2,7,2,2,2,1,10,7.6
146,28-127,2017-12-31,HOU,,LAL,1,1,41,10,20,0.5,7,12,0.583,3,8,0.375,17,21,0.81,0,2,2,11,2,2,1,2,40,38.3
147,28-125,2017-12-29,HOU,@,WAS,0,1,29,7,14,0.5,6,10,0.6,1,4,0.25,5,6,0.833,1,0,1,4,1,1,5,1,20,12.4
148,28-124,2017-12-28,HOU,@,BOS,0,1,39,7,27,0.259,2,12,0.167,5,15,0.333,15,15,1,0,6,6,10,2,0,8,4,34,19.1
149,28-121,2017-12-25,HOU,@,OKC,0,1,39,7,18,0.389,4,7,0.571,3,11,0.273,12,14,0.857,1,7,8,14,2,1,1,0,29,32.7
150,28-118,2017-12-22,HOU,,LAC,0,1,41,15,28,0.536,9,14,0.643,6,14,0.429,15,16,0.938,0,4,4,8,3,0,8,6,51,36.4
151,28-116,2017-12-20,HOU,,LAL,0,1,43,15,27,0.556,11,21,0.524,4,6,0.667,17,21,0.81,0,3,3,9,1,1,6,5,51,37.4
152,28-114,2017-12-18,HOU,,UTA,1,1,38,6,17,0.353,2,5,0.4,4,12,0.333,10,10,1,0,6,6,6,2,1,5,2,26,19.4
153,28-112,2017-12-16,HOU,,MIL,1,1,39,8,21,0.381,4,11,0.364,4,10,0.4,11,14,0.786,0,6,6,5,0,1,3,4,31,19.7
154,28-111,2017-12-15,HOU,,SAS,1,1,33,6,18,0.333,4,7,0.571,2,11,0.182,14,16,0.875,0,7,7,6,2,1,5,2,28,20.2
155,28-109,2017-12-13,HOU,,CHO,1,1,31,8,22,0.364,5,12,0.417,3,10,0.3,2,2,1,0,4,4,8,1,1,3,3,21,13.1
156,28-107,2017-12-11,HOU,,NOP,1,1,35,8,16,0.5,4,6,0.667,4,10,0.4,6,9,0.667,0,1,1,17,6,0,3,3,26,30.8
157,28-105,2017-12-09,HOU,@,POR,1,1,37,16,29,0.552,12,22,0.545,4,7,0.571,12,14,0.857,1,7,8,3,3,0,2,2,48,38.4
158,28-103,2017-12-07,HOU,@,UTA,1,1,35,8,19,0.421,4,7,0.571,4,12,0.333,9,9,1,0,6,6,3,1,0,3,2,29,20
159,28-099,2017-12-03,HOU,@,LAL,1,1,35,13,22,0.591,9,13,0.692,4,9,0.444,6,7,0.857,1,3,4,9,2,0,4,3,36,30.1
160,28-095,2017-11-29,HOU,,IND,1,1,35,8,22,0.364,4,10,0.4,4,12,0.333,9,9,1,2,6,8,10,1,0,1,2,29,26.2
161,28-093,2017-11-27,HOU,,BRK,1,1,36,13,20,0.65,5,7,0.714,8,13,0.615,3,4,0.75,0,10,10,8,2,2,4,2,37,35
162,28-091,2017-11-25,HOU,,NYK,1,1,37,12,27,0.444,7,14,0.5,5,13,0.385,8,10,0.8,0,2,2,10,3,0,1,1,37,31.3
163,28-088,2017-11-22,HOU,,DEN,1,1,32,6,16,0.375,5,9,0.556,1,7,0.143,8,9,0.889,1,7,8,9,0,0,7,1,21,13.5
164,28-084,2017-11-18,HOU,@,MEM,1,1,36,9,20,0.45,3,8,0.375,6,12,0.5,5,5,1,0,5,5,7,3,0,3,3,29,23.8
165,28-082,2017-11-16,HOU,@,PHO,1,1,35,12,22,0.545,6,11,0.545,6,11,0.545,18,18,1,0,2,2,7,2,1,5,3,48,39.4
166,28-080,2017-11-14,HOU,,TOR,0,1,39,8,25,0.32,5,14,0.357,3,11,0.273,19,19,1,1,5,6,11,0,1,9,5,38,23.3
167,28-078,2017-11-12,HOU,@,IND,1,1,34,9,21,0.429,6,9,0.667,3,12,0.25,5,5,1,0,5,5,15,2,0,3,1,26,25.5
168,28-077,2017-11-11,HOU,,MEM,1,1,38,11,25,0.44,5,11,0.455,6,14,0.429,10,14,0.714,0,4,4,8,0,1,3,3,38,26.6
169,28-075,2017-11-09,HOU,,CLE,1,1,43,8,21,0.381,2,7,0.286,6,14,0.429,13,14,0.929,1,10,11,13,5,1,5,4,35,35
170,28-071,2017-11-05,HOU,,UTA,1,1,35,19,25,0.76,12,17,0.706,7,8,0.875,11,12,0.917,0,2,2,13,2,0,7,3,56,49.2
171,28-069,2017-11-03,HOU,@,ATL,1,1,31,8,15,0.533,2,4,0.5,6,11,0.545,7,10,0.7,1,2,3,11,1,0,2,0,29,28.5
172,28-067,2017-11-01,HOU,@,NYK,1,1,35,9,23,0.391,3,6,0.5,6,17,0.353,7,9,0.778,1,4,5,9,0,0,7,5,31,16.9
173,28-065,2017-10-30,HOU,,PHI,0,1,38,8,21,0.381,5,14,0.357,3,7,0.429,10,12,0.833,1,3,4,7,4,1,7,2,29,20.1
174,28-063,2017-10-28,HOU,@,MEM,0,1,34,6,19,0.316,4,10,0.4,2,9,0.222,6,7,0.857,1,3,4,8,2,0,3,3,20,13.7
175,28-062,2017-10-27,HOU,@,CHO,1,1,37,8,18,0.444,4,8,0.5,4,10,0.4,7,8,0.875,0,10,10,11,1,0,5,4,27,22.3
176,28-060,2017-10-25,HOU,@,PHI,1,1,41,10,20,0.5,8,12,0.667,2,8,0.25,5,5,1,0,3,3,13,1,3,8,1,27,21.7
177,28-058,2017-10-23,HOU,,MEM,0,1,35,8,20,0.4,6,12,0.5,2,8,0.25,4,8,0.5,1,4,5,8,1,0,7,4,22,9.5
178,28-056,2017-10-21,HOU,,DAL,1,1,31,10,19,0.526,4,6,0.667,6,13,0.462,3,4,0.75,0,3,3,7,2,0,5,5,29,20.1
179,28-053,2017-10-18,HOU,@,SAC,1,1,38,8,21,0.381,4,7,0.571,4,14,0.286,7,8,0.875,2,1,3,9,2,0,2,1,27,22.7
180,28-052,2017-10-17,HOU,@,GSW,1,1,36,10,23,0.435,6,14,0.429,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,21.6
181,27-229,2017-04-12,HOU,,MIN,1,1,35,8,13,0.615,3,3,1,5,10,0.5,6,8,0.75,1,9,10,12,4,1,4,3,27,31.6
182,27-227,2017-04-10,HOU,@,LAC,0,1,24,2,9,0.222,1,3,0.333,1,6,0.167,9,14,0.643,1,6,7,6,1,0,5,5,14,7.2
183,27-226,2017-04-09,HOU,@,SAC,1,1,36,9,22,0.409,4,9,0.444,5,13,0.385,12,13,0.923,0,11,11,15,1,0,10,2,35,26.8
184,27-224,2017-04-07,HOU,,DET,0,1,38,10,25,0.4,3,6,0.5,7,19,0.368,6,7,0.857,2,7,9,12,0,1,1,4,33,29.1
185,27-222,2017-04-05,HOU,,DEN,1,1,39,8,19,0.421,4,9,0.444,4,10,0.4,11,15,0.733,0,7,7,10,1,3,4,3,31,26.3
186,27-217,2017-03-31,HOU,@,GSW,0,1,35,4,17,0.235,2,8,0.25,2,9,0.222,7,7,1,4,8,12,8,0,1,6,3,17,11
187,27-216,2017-03-30,HOU,@,POR,0,1,37,11,30,0.367,9,17,0.529,2,13,0.154,6,7,0.857,2,6,8,4,1,0,6,2,30,13.2
